wavelength,species,ep,gf,Sun,Arcturus
5295.3101,26.0,4.420,-1.590,29.0,47.7
5379.5698,26.0,3.690,-1.510,62.5,99.0
5386.3301,26.0,4.150,-1.670,32.6,56.0
5441.3398,26.0,4.310,-1.630,32.5,55.7
5638.2598,26.0,4.220,-0.770,80.0,104.9
5679.0229,26.0,4.652,-0.750,59.6,72.7
5705.4639,26.0,4.301,-1.355,38.0,62.7
5731.7598,26.0,4.260,-1.200,57.7,83.0
5778.4531,26.0,2.588,-3.440,22.1,74.7
5793.9141,26.0,4.220,-1.619,34.2,56.6
5855.0762,26.0,4.608,-1.478,22.4,37.1
5905.6699,26.0,4.650,-0.690,58.6,74.7
5927.7900,26.0,4.650,-0.990,42.9,56.3
5929.6802,26.0,4.550,-1.310,40.0,57.1
6003.0098,26.0,3.880,-1.060,84.0,112.4
6027.0498,26.0,4.076,-1.090,64.2,93.6
6056.0000,26.0,4.730,-0.400,72.6,85.2
6079.0098,26.0,4.650,-1.020,45.6,60.2
6093.6440,26.0,4.607,-1.300,30.9,45.9
6096.6650,26.0,3.984,-1.810,37.6,64.7
6151.6182,26.0,2.176,-3.282,49.8,119.7
6165.3599,26.0,4.143,-1.460,44.8,70.6
6187.9902,26.0,3.940,-1.620,47.6,78.4
6240.6460,26.0,2.223,-3.287,48.2,118.7
6270.2251,26.0,2.858,-2.540,52.4,107.9
6703.5669,26.0,2.759,-3.023,36.8,92.7
6705.1021,26.0,4.607,-0.980,46.4,64.3
6713.7451,26.0,4.795,-1.400,21.2,30.6
6726.6670,26.0,4.607,-1.030,46.9,62.4
6793.2588,26.0,4.076,-2.326,12.8,29.4
6810.2632,26.0,4.607,-0.986,50.0,66.4
6828.5898,26.0,4.640,-0.820,55.9,72.2
6842.6899,26.0,4.640,-1.220,39.1,55.0
6843.6602,26.0,4.550,-0.830,60.9,80.0
6999.8799,26.0,4.100,-1.460,53.9,78.8
7022.9502,26.0,4.190,-1.150,64.5,89.9
7132.9902,26.0,4.080,-1.650,43.1,68.6
4576.3330,26.1,2.844,-2.950,64.6,76.7
4620.5132,26.1,2.828,-3.210,50.4,60.1
5234.6240,26.1,3.221,-2.180,82.9,88.7
5264.8042,26.1,3.230,-3.130,46.1,47.9
5414.0718,26.1,3.221,-3.580,27.3,31.0
5425.2568,26.1,3.200,-3.220,41.9,45.4
6369.4619,26.1,2.891,-4.110,19.2,23.1
6432.6758,26.1,2.891,-3.570,41.3,47.0
6516.0771,26.1,2.891,-3.310,54.7,59.0
